d,FOODS_3_090,FOODS_3_586,FOODS_3_252,FOODS_3_555,FOODS_3_714,date,wm_yr_wk,weekday,wday,month,year,snap_CA,snap_TX,snap_WI
d_61,0,367,206,210,151,2011-03-30,11109,Wednesday,5,3,2011,0,0,0
d_62,0,469,255,269,202,2011-03-31,11109,Thursday,6,3,2011,0,0,0
d_63,0,553,352,371,284,2011-04-01,11109,Friday,7,4,2011,1,1,0
d_64,0,628,350,425,301,2011-04-02,11110,Saturday,1,4,2011,1,0,1
d_65,0,623,354,352,284,2011-04-03,11110,Sunday,2,4,2011,1,1,1
d_66,0,473,233,266,213,2011-04-04,11110,Monday,3,4,2011,1,0,0
d_67,0,412,221,261,205,2011-04-05,11110,Tuesday,4,4,2011,1,1,1
d_68,0,423,214,257,174,2011-04-06,11110,Wednesday,5,4,2011,1,1,1
d_69,0,372,194,242,152,2011-04-07,11110,Thursday,6,4,2011,1,1,0
d_70,0,446,256,303,194,2011-04-08,11110,Friday,7,4,2011,1,0,1
d_71,0,623,381,369,302,2011-04-09,11111,Saturday,1,4,2011,1,1,1
d_72,0,665,405,353,332,2011-04-10,11111,Sunday,2,4,2011,1,0,0
d_73,0,470,224,305,186,2011-04-11,11111,Monday,3,4,2011,0,1,1
d_74,0,448,248,284,167,2011-04-12,11111,Tuesday,4,4,2011,0,1,1
d_75,0,428,216,237,164,2011-04-13,11111,Wednesday,5,4,2011,0,1,0
d_76,0,412,221,260,168,2011-04-14,11111,Thursday,6,4,2011,0,0,1
d_77,0,487,298,320,255,2011-04-15,11111,Friday,7,4,2011,0,1,1
d_78,0,646,370,354,313,2011-04-16,11112,Saturday,1,4,2011,0,0,0
d_79,0,637,402,370,277,2011-04-17,11112,Sunday,2,4,2011,0,0,0
d_80,0,456,265,287,155,2011-04-18,11112,Monday,3,4,2011,0,0,0
d_81,0,430,231,249,187,2011-04-19,11112,Tuesday,4,4,2011,0,0,0
d_82,0,464,243,270,203,2011-04-20,11112,Wednesday,5,4,2011,0,0,0
d_83,0,408,233,263,179,2011-04-21,11112,Thursday,6,4,2011,0,0,0
d_84,0,588,324,395,228,2011-04-22,11112,Friday,7,4,2011,0,0,0
d_85,0,675,450,398,342,2011-04-23,11113,Saturday,1,4,2011,0,0,0
d_86,0,656,350,343,276,2011-04-24,11113,Sunday,2,4,2011,0,0,0
d_87,0,414,223,231,174,2011-04-25,11113,Monday,3,4,2011,0,0,0
d_88,0,341,192,191,161,2011-04-26,11113,Tuesday,4,4,2011,0,0,0
d_89,0,409,214,244,158,2011-04-27,11113,Wednesday,5,4,2011,0,0,0
d_90,0,366,237,254,149,2011-04-28,11113,Thursday,6,4,2011,0,0,0
d_91,0,516,266,290,219,2011-04-29,11113,Friday,7,4,2011,0,0,0
d_92,0,598,395,395,352,2011-04-30,11114,Saturday,1,4,2011,0,0,0
d_93,0,643,422,381,312,2011-05-01,11114,Sunday,2,5,2011,1,1,0
d_94,0,481,214,253,233,2011-05-02,11114,Monday,3,5,2011,1,0,1
d_95,0,486,245,256,195,2011-05-03,11114,Tuesday,4,5,2011,1,1,1
d_96,0,418,265,215,231,2011-05-04,11114,Wednesday,5,5,2011,1,0,0
d_97,0,507,269,248,227,2011-05-05,11114,Thursday,6,5,2011,1,1,1
d_98,0,534,291,344,296,2011-05-06,11114,Friday,7,5,2011,1,1,1
d_99,0,641,481,422,354,2011-05-07,11115,Saturday,1,5,2011,1,1,0
d_100,0,652,392,336,294,2011-05-08,11115,Sunday,2,5,2011,1,0,1
d_101,0,486,288,259,216,2011-05-09,11115,Monday,3,5,2011,1,1,1
d_102,0,436,245,293,193,2011-05-10,11115,Tuesday,4,5,2011,1,0,0
d_103,0,405,188,226,176,2011-05-11,11115,Wednesday,5,5,2011,0,1,1
d_104,0,441,201,299,232,2011-05-12,11115,Thursday,6,5,2011,0,1,1
d_105,0,583,300,347,265,2011-05-13,11115,Friday,7,5,2011,0,1,0
d_106,0,545,346,317,262,2011-05-14,11116,Saturday,1,5,2011,0,0,1
d_107,0,591,355,352,263,2011-05-15,11116,Sunday,2,5,2011,0,1,1
d_108,0,375,255,210,161,2011-05-16,11116,Monday,3,5,2011,0,0,0
d_109,0,409,207,260,153,2011-05-17,11116,Tuesday,4,5,2011,0,0,0
d_110,0,356,195,203,138,2011-05-18,11116,Wednesday,5,5,2011,0,0,0
d_111,0,419,231,233,179,2011-05-19,11116,Thursday,6,5,2011,0,0,0
d_112,0,508,271,320,243,2011-05-20,11116,Friday,7,5,2011,0,0,0
d_113,0,602,401,355,271,2011-05-21,11117,Saturday,1,5,2011,0,0,0
d_114,0,594,398,388,304,2011-05-22,11117,Sunday,2,5,2011,0,0,0
d_115,0,479,254,269,172,2011-05-23,11117,Monday,3,5,2011,0,0,0
d_116,0,437,246,244,187,2011-05-24,11117,Tuesday,4,5,2011,0,0,0
d_117,0,440,206,250,157,2011-05-25,11117,Wednesday,5,5,2011,0,0,0
d_118,0,463,275,317,184,2011-05-26,11117,Thursday,6,5,2011,0,0,0
d_119,0,514,328,329,223,2011-05-27,11117,Friday,7,5,2011,0,0,0
d_120,0,567,402,391,281,2011-05-28,11118,Saturday,1,5,2011,0,0,0
d_121,0,519,318,341,244,2011-05-29,11118,Sunday,2,5,2011,0,0,0
d_122,0,523,345,310,277,2011-05-30,11118,Monday,3,5,2011,0,0,0
d_123,0,383,243,234,187,2011-05-31,11118,Tuesday,4,5,2011,0,0,0
d_124,0,525,297,325,217,2011-06-01,11118,Wednesday,5,6,2011,1,1,0
d_125,0,488,304,312,212,2011-06-02,11118,Thursday,6,6,2011,1,0,1
d_126,0,643,345,431,287,2011-06-03,11118,Friday,7,6,2011,1,1,1
d_127,0,633,454,374,389,2011-06-04,11119,Saturday,1,6,2011,1,0,0
d_128,0,673,434,407,330,2011-06-05,11119,Sunday,2,6,2011,1,1,1
d_129,0,475,335,289,220,2011-06-06,11119,Monday,3,6,2011,1,1,1
d_130,0,564,332,337,219,2011-06-07,11119,Tuesday,4,6,2011,1,1,0
d_131,0,476,290,316,256,2011-06-08,11119,Wednesday,5,6,2011,1,0,1
d_132,0,521,279,280,213,2011-06-09,11119,Thursday,6,6,2011,1,1,1
d_133,0,504,301,303,271,2011-06-10,11119,Friday,7,6,2011,1,0,0
d_134,0,606,417,387,285,2011-06-11,11120,Saturday,1,6,2011,0,1,1
d_135,0,634,439,401,323,2011-06-12,11120,Sunday,2,6,2011,0,1,1
d_136,0,506,344,317,224,2011-06-13,11120,Monday,3,6,2011,0,1,0
d_137,0,511,344,285,256,2011-06-14,11120,Tuesday,4,6,2011,0,0,1
d_138,0,550,372,325,262,2011-06-15,11120,Wednesday,5,6,2011,0,1,1
d_139,0,495,270,288,255,2011-06-16,11120,Thursday,6,6,2011,0,0,0
d_140,0,567,366,368,307,2011-06-17,11120,Friday,7,6,2011,0,0,0
d_141,0,688,505,367,358,2011-06-18,11121,Saturday,1,6,2011,0,0,0
d_142,0,673,467,294,326,2011-06-19,11121,Sunday,2,6,2011,0,0,0
d_143,0,460,347,244,257,2011-06-20,11121,Monday,3,6,2011,0,0,0
d_144,0,464,317,297,201,2011-06-21,11121,Tuesday,4,6,2011,0,0,0
d_145,0,390,240,213,158,2011-06-22,11121,Wednesday,5,6,2011,0,0,0
d_146,0,436,262,242,199,2011-06-23,11121,Thursday,6,6,2011,0,0,0
d_147,0,465,313,354,193,2011-06-24,11121,Friday,7,6,2011,0,0,0
d_148,0,561,405,357,332,2011-06-25,11122,Saturday,1,6,2011,0,0,0
d_149,0,569,450,332,319,2011-06-26,11122,Sunday,2,6,2011,0,0,0
d_150,0,423,274,255,228,2011-06-27,11122,Monday,3,6,2011,0,0,0
d_151,0,407,208,230,165,2011-06-28,11122,Tuesday,4,6,2011,0,0,0
d_152,0,418,260,272,214,2011-06-29,11122,Wednesday,5,6,2011,0,0,0
d_153,0,472,284,337,211,2011-06-30,11122,Thursday,6,6,2011,0,0,0
d_154,0,744,471,436,435,2011-07-01,11122,Friday,7,7,2011,1,1,0
d_155,0,683,671,508,538,2011-07-02,11123,Saturday,1,7,2011,1,0,1
d_156,0,687,570,465,397,2011-07-03,11123,Sunday,2,7,2011,1,1,1
d_157,0,542,336,343,316,2011-07-04,11123,Monday,3,7,2011,1,0,0
d_158,0,471,401,343,308,2011-07-05,11123,Tuesday,4,7,2011,1,1,1
d_159,0,440,316,248,230,2011-07-06,11123,Wednesday,5,7,2011,1,1,1
d_160,0,473,334,316,273,2011-07-07,11123,Thursday,6,7,2011,1,1,0
d_161,0,565,363,321,308,2011-07-08,11123,Friday,7,7,2011,1,0,1
d_162,0,746,460,369,378,2011-07-09,11124,Saturday,1,7,2011,1,1,1
d_163,0,667,403,387,342,2011-07-10,11124,Sunday,2,7,2011,1,0,0
d_164,0,481,355,324,271,2011-07-11,11124,Monday,3,7,2011,0,1,1
d_165,0,468,228,286,203,2011-07-12,11124,Tuesday,4,7,2011,0,1,1
d_166,0,427,255,295,224,2011-07-13,11124,Wednesday,5,7,2011,0,1,0
d_167,0,472,260,289,239,2011-07-14,11124,Thursday,6,7,2011,0,0,1
d_168,0,604,345,343,264,2011-07-15,11124,Friday,7,7,2011,0,1,1
d_169,0,633,429,332,313,2011-07-16,11125,Saturday,1,7,2011,0,0,0
d_170,0,661,444,459,356,2011-07-17,11125,Sunday,2,7,2011,0,0,0
d_171,0,509,301,343,317,2011-07-18,11125,Monday,3,7,2011,0,0,0
d_172,0,397,247,266,236,2011-07-19,11125,Tuesday,4,7,2011,0,0,0
d_173,0,463,390,311,352,2011-07-20,11125,Wednesday,5,7,2011,0,0,0
d_174,0,503,325,351,302,2011-07-21,11125,Thursday,6,7,2011,0,0,0
d_175,0,541,367,369,306,2011-07-22,11125,Friday,7,7,2011,0,0,0
d_176,0,628,468,440,391,2011-07-23,11126,Saturday,1,7,2011,0,0,0
d_177,0,631,446,369,292,2011-07-24,11126,Sunday,2,7,2011,0,0,0
d_178,0,507,304,281,217,2011-07-25,11126,Monday,3,7,2011,0,0,0
d_179,0,437,255,256,204,2011-07-26,11126,Tuesday,4,7,2011,0,0,0
d_180,0,399,264,232,177,2011-07-27,11126,Wednesday,5,7,2011,0,0,0
d_181,0,398,264,277,184,2011-07-28,11126,Thursday,6,7,2011,0,0,0
d_182,0,478,272,320,268,2011-07-29,11126,Friday,7,7,2011,0,0,0
d_183,0,681,471,403,397,2011-07-30,11127,Saturday,1,7,2011,0,0,0
d_184,0,681,430,437,356,2011-07-31,11127,Sunday,2,7,2011,0,0,0
d_185,0,591,354,363,265,2011-08-01,11127,Monday,3,8,2011,1,1,0
d_186,0,502,367,346,268,2011-08-02,11127,Tuesday,4,8,2011,1,0,1
d_187,0,565,382,398,249,2011-08-03,11127,Wednesday,5,8,2011,1,1,1
d_188,0,550,314,341,277,2011-08-04,11127,Thursday,6,8,2011,1,0,0
d_189,0,666,431,421,332,2011-08-05,11127,Friday,7,8,2011,1,1,1
d_190,0,759,587,487,413,2011-08-06,11128,Saturday,1,8,2011,1,1,1
d_191,0,817,519,479,314,2011-08-07,11128,Sunday,2,8,2011,1,1,0
d_192,0,573,369,311,284,2011-08-08,11128,Monday,3,8,2011,1,0,1
d_193,0,607,380,356,247,2011-08-09,11128,Tuesday,4,8,2011,1,1,1
d_194,0,587,337,312,213,2011-08-10,11128,Wednesday,5,8,2011,1,0,0
d_195,0,540,366,376,240,2011-08-11,11128,Thursday,6,8,2011,0,1,1
d_196,0,730,446,353,323,2011-08-12,11128,Friday,7,8,2011,0,1,1
d_197,0,805,576,508,364,2011-08-13,11129,Saturday,1,8,2011,0,1,0
d_198,0,820,530,521,349,2011-08-14,11129,Sunday,2,8,2011,0,0,1
d_199,0,655,401,419,299,2011-08-15,11129,Monday,3,8,2011,0,1,1
d_200,0,611,364,404,274,2011-08-16,11129,Tuesday,4,8,2011,0,0,0
d_201,0,567,358,322,225,2011-08-17,11129,Wednesday,5,8,2011,0,0,0
d_202,0,570,411,367,276,2011-08-18,11129,Thursday,6,8,2011,0,0,0
d_203,0,723,528,472,352,2011-08-19,11129,Friday,7,8,2011,0,0,0
d_204,0,872,679,576,412,2011-08-20,11130,Saturday,1,8,2011,0,0,0
d_205,0,908,603,550,361,2011-08-21,11130,Sunday,2,8,2011,0,0,0
d_206,0,662,433,383,213,2011-08-22,11130,Monday,3,8,2011,0,0,0
d_207,0,599,339,339,214,2011-08-23,11130,Tuesday,4,8,2011,0,0,0
d_208,0,511,299,317,252,2011-08-24,11130,Wednesday,5,8,2011,0,0,0
d_209,0,457,291,288,199,2011-08-25,11130,Thursday,6,8,2011,0,0,0
d_210,0,574,367,353,238,2011-08-26,11130,Friday,7,8,2011,0,0,0
d_211,0,721,514,501,346,2011-08-27,11131,Saturday,1,8,2011,0,0,0
d_212,0,787,601,523,337,2011-08-28,11131,Sunday,2,8,2011,0,0,0
d_213,0,480,354,321,195,2011-08-29,11131,Monday,3,8,2011,0,0,0
d_214,0,456,244,269,167,2011-08-30,11131,Tuesday,4,8,2011,0,0,0
d_215,0,457,335,308,212,2011-08-31,11131,Wednesday,5,8,2011,0,0,0
d_216,0,651,413,412,245,2011-09-01,11131,Thursday,6,9,2011,1,1,0
d_217,0,714,434,421,318,2011-09-02,11131,Friday,7,9,2011,1,0,1
d_218,0,801,503,466,279,2011-09-03,11132,Saturday,1,9,2011,1,1,1
d_219,0,536,319,327,218,2011-09-04,11132,Sunday,2,9,2011,1,0,0
d_220,0,608,385,365,198,2011-09-05,11132,Monday,3,9,2011,1,1,1
d_221,0,492,339,280,191,2011-09-06,11132,Tuesday,4,9,2011,1,1,1
d_222,0,526,311,302,191,2011-09-07,11132,Wednesday,5,9,2011,1,1,0
d_223,0,476,257,279,177,2011-09-08,11132,Thursday,6,9,2011,1,0,1
d_224,0,676,345,407,228,2011-09-09,11132,Friday,7,9,2011,1,1,1
d_225,0,677,499,475,268,2011-09-10,11133,Saturday,1,9,2011,1,0,0
d_226,0,820,450,436,257,2011-09-11,11133,Sunday,2,9,2011,0,1,1
d_227,0,557,342,302,176,2011-09-12,11133,Monday,3,9,2011,0,1,1
d_228,0,510,304,283,161,2011-09-13,11133,Tuesday,4,9,2011,0,1,0
d_229,0,484,299,295,151,2011-09-14,11133,Wednesday,5,9,2011,0,0,1
d_230,0,524,287,336,171,2011-09-15,11133,Thursday,6,9,2011,0,1,1
d_231,0,619,330,378,200,2011-09-16,11133,Friday,7,9,2011,0,0,0
d_232,0,666,390,430,237,2011-09-17,11134,Saturday,1,9,2011,0,0,0
d_233,0,657,393,381,246,2011-09-18,11134,Sunday,2,9,2011,0,0,0
d_234,0,509,295,290,161,2011-09-19,11134,Monday,3,9,2011,0,0,0
d_235,0,501,356,300,175,2011-09-20,11134,Tuesday,4,9,2011,0,0,0
d_236,0,498,308,288,152,2011-09-21,11134,Wednesday,5,9,2011,0,0,0
d_237,0,470,271,275,142,2011-09-22,11134,Thursday,6,9,2011,0,0,0
d_238,454,529,368,335,213,2011-09-23,11134,Friday,7,9,2011,0,0,0
d_239,633,696,446,450,198,2011-09-24,11135,Saturday,1,9,2011,0,0,0
d_240,1056,677,411,423,202,2011-09-25,11135,Sunday,2,9,2011,0,0,0
d_241,708,489,306,281,152,2011-09-26,11135,Monday,3,9,2011,0,0,0
d_242,646,441,249,253,158,2011-09-27,11135,Tuesday,4,9,2011,0,0,0
d_243,758,456,302,288,128,2011-09-28,11135,Wednesday,5,9,2011,0,0,0
d_244,743,445,261,258,121,2011-09-29,11135,Thursday,6,9,2011,0,0,0
d_245,1171,587,347,357,166,2011-09-30,11135,Friday,7,9,2011,0,0,0
d_246,1645,738,469,472,227,2011-10-01,11136,Saturday,1,10,2011,1,1,0
d_247,1109,749,407,417,238,2011-10-02,11136,Sunday,2,10,2011,1,0,1
d_248,771,534,226,335,145,2011-10-03,11136,Monday,3,10,2011,1,1,1
d_249,826,491,267,317,118,2011-10-04,11136,Tuesday,4,10,2011,1,0,0
d_250,735,554,220,286,134,2011-10-05,11136,Wednesday,5,10,2011,1,1,1
d_251,717,534,252,268,135,2011-10-06,11136,Thursday,6,10,2011,1,1,1
d_252,1127,653,324,315,214,2011-10-07,11136,Friday,7,10,2011,1,1,0
d_253,1461,655,395,419,223,2011-10-08,11137,Saturday,1,10,2011,1,0,1
d_254,915,710,332,322,212,2011-10-09,11137,Sunday,2,10,2011,1,1,1
d_255,872,492,218,289,109,2011-10-10,11137,Monday,3,10,2011,1,0,0
d_256,794,541,256,297,142,2011-10-11,11137,Tuesday,4,10,2011,0,1,1
d_257,736,541,270,351,150,2011-10-12,11137,Wednesday,5,10,2011,0,1,1
d_258,1013,556,261,348,167,2011-10-13,11137,Thursday,6,10,2011,0,1,0
d_259,967,653,348,337,181,2011-10-14,11137,Friday,7,10,2011,0,0,1
d_260,1177,764,491,471,251,2011-10-15,11138,Saturday,1,10,2011,0,1,1
d_261,1153,735,448,455,215,2011-10-16,11138,Sunday,2,10,2011,0,0,0
d_262,869,525,283,324,140,2011-10-17,11138,Monday,3,10,2011,0,0,0
d_263,834,435,234,290,120,2011-10-18,11138,Tuesday,4,10,2011,0,0,0
d_264,753,420,189,271,106,2011-10-19,11138,Wednesday,5,10,2011,0,0,0
d_265,811,446,234,278,120,2011-10-20,11138,Thursday,6,10,2011,0,0,0
d_266,1151,550,295,349,159,2011-10-21,11138,Friday,7,10,2011,0,0,0
d_267,1177,639,448,408,245,2011-10-22,11139,Saturday,1,10,2011,0,0,0
d_268,1091,657,412,384,228,2011-10-23,11139,Sunday,2,10,2011,0,0,0
d_269,808,509,267,297,159,2011-10-24,11139,Monday,3,10,2011,0,0,0
d_270,881,480,204,269,136,2011-10-25,11139,Tuesday,4,10,2011,0,0,0
d_271,753,470,229,248,145,2011-10-26,11139,Wednesday,5,10,2011,0,0,0
d_272,874,509,253,289,149,2011-10-27,11139,Thursday,6,10,2011,0,0,0
d_273,1055,604,299,334,173,2011-10-28,11139,Friday,7,10,2011,0,0,0
d_274,1277,710,455,394,264,2011-10-29,11140,Saturday,1,10,2011,0,0,0
d_275,1126,716,374,368,215,2011-10-30,11140,Sunday,2,10,2011,0,0,0
d_276,678,456,230,239,133,2011-10-31,11140,Monday,3,10,2011,0,0,0
d_277,820,538,258,335,136,2011-11-01,11140,Tuesday,4,11,2011,1,1,0
d_278,811,501,239,273,163,2011-11-02,11140,Wednesday,5,11,2011,1,0,1
d_279,901,526,191,277,147,2011-11-03,11140,Thursday,6,11,2011,1,1,1
d_280,896,629,284,335,167,2011-11-04,11140,Friday,7,11,2011,1,0,0
d_281,1280,686,387,425,239,2011-11-05,11141,Saturday,1,11,2011,1,1,1
d_282,1184,742,342,424,242,2011-11-06,11141,Sunday,2,11,2011,1,1,1
d_283,804,530,200,244,147,2011-11-07,11141,Monday,3,11,2011,1,1,0
d_284,649,460,184,283,133,2011-11-08,11141,Tuesday,4,11,2011,1,0,1
d_285,784,479,189,252,127,2011-11-09,11141,Wednesday,5,11,2011,1,1,1
d_286,840,508,236,317,147,2011-11-10,11141,Thursday,6,11,2011,1,0,0
d_287,1156,569,270,335,178,2011-11-11,11141,Friday,7,11,2011,0,1,1
d_288,1445,685,370,432,226,2011-11-12,11142,Saturday,1,11,2011,0,1,1
d_289,1277,742,357,466,243,2011-11-13,11142,Sunday,2,11,2011,0,1,0
d_290,1012,506,240,252,105,2011-11-14,11142,Monday,3,11,2011,0,0,1
d_291,778,496,247,284,121,2011-11-15,11142,Tuesday,4,11,2011,0,1,1
d_292,696,492,240,289,113,2011-11-16,11142,Wednesday,5,11,2011,0,0,0
d_293,776,426,217,248,112,2011-11-17,11142,Thursday,6,11,2011,0,0,0
d_294,1053,574,252,332,165,2011-11-18,11142,Friday,7,11,2011,0,0,0
d_295,1336,656,379,376,232,2011-11-19,11143,Saturday,1,11,2011,0,0,0
d_296,983,643,352,382,187,2011-11-20,11143,Sunday,2,11,2011,0,0,0
d_297,816,537,261,286,148,2011-11-21,11143,Monday,3,11,2011,0,0,0
d_298,1131,507,232,268,180,2011-11-22,11143,Tuesday,4,11,2011,0,0,0
d_299,2221,511,299,373,200,2011-11-23,11143,Wednesday,5,11,2011,0,0,0
d_300,1249,748,384,442,262,2011-11-24,11143,Thursday,6,11,2011,0,0,0
d_301,640,1147,602,607,401,2011-11-25,11143,Friday,7,11,2011,0,0,0
d_302,894,536,234,299,209,2011-11-26,11144,Saturday,1,11,2011,0,0,0
d_303,816,532,251,302,169,2011-11-27,11144,Sunday,2,11,2011,0,0,0
d_304,549,449,185,227,115,2011-11-28,11144,Monday,3,11,2011,0,0,0
d_305,618,386,185,193,110,2011-11-29,11144,Tuesday,4,11,2011,0,0,0
d_306,700,412,171,218,142,2011-11-30,11144,Wednesday,5,11,2011,0,0,0
d_307,767,530,245,323,173,2011-12-01,11144,Thursday,6,12,2011,1,1,0
d_308,901,631,271,353,178,2011-12-02,11144,Friday,7,12,2011,1,0,1
d_309,1318,731,362,410,258,2011-12-03,11145,Saturday,1,12,2011,1,1,1
d_310,1171,712,294,354,220,2011-12-04,11145,Sunday,2,12,2011,1,0,0
d_311,851,519,194,269,152,2011-12-05,11145,Monday,3,12,2011,1,1,1
d_312,779,458,183,242,123,2011-12-06,11145,Tuesday,4,12,2011,1,1,1
d_313,745,450,181,247,118,2011-12-07,11145,Wednesday,5,12,2011,1,1,0
d_314,679,522,202,298,118,2011-12-08,11145,Thursday,6,12,2011,1,0,1
d_315,1006,594,265,362,177,2011-12-09,11145,Friday,7,12,2011,1,1,1
d_316,1210,684,375,418,253,2011-12-10,11146,Saturday,1,12,2011,1,0,0
d_317,1077,769,320,446,225,2011-12-11,11146,Sunday,2,12,2011,0,1,1
d_318,748,552,199,310,145,2011-12-12,11146,Monday,3,12,2011,0,1,1
d_319,853,516,185,287,145,2011-12-13,11146,Tuesday,4,12,2011,0,1,0
d_320,862,573,203,339,150,2011-12-14,11146,Wednesday,5,12,2011,0,0,1
d_321,965,582,236,318,174,2011-12-15,11146,Thursday,6,12,2011,0,1,1
d_322,1277,604,254,346,191,2011-12-16,11146,Friday,7,12,2011,0,0,0
d_323,1273,794,436,430,281,2011-12-17,11147,Saturday,1,12,2011,0,0,0
d_324,929,730,367,409,241,2011-12-18,11147,Sunday,2,12,2011,0,0,0
d_325,1069,596,275,344,196,2011-12-19,11147,Monday,3,12,2011,0,0,0
d_326,798,612,251,345,180,2011-12-20,11147,Tuesday,4,12,2011,0,0,0
d_327,789,608,284,323,207,2011-12-21,11147,Wednesday,5,12,2011,0,0,0
d_328,970,743,306,418,193,2011-12-22,11147,Thursday,6,12,2011,0,0,0
