d,sales,date,wm_yr_wk,weekday,wday,month,year,snap_CA,snap_TX,snap_WI
d_33,22046,2011-03-02,11105,Wednesday,5,3,2011,1,0,1
d_34,23475,2011-03-03,11105,Thursday,6,3,2011,1,1,1
d_35,23572,2011-03-04,11105,Friday,7,3,2011,1,0,0
d_36,31202,2011-03-05,11106,Saturday,1,3,2011,1,1,1
d_37,34876,2011-03-06,11106,Sunday,2,3,2011,1,1,1
d_38,24562,2011-03-07,11106,Monday,3,3,2011,1,1,0
d_39,22752,2011-03-08,11106,Tuesday,4,3,2011,1,0,1
d_40,22560,2011-03-09,11106,Wednesday,5,3,2011,1,1,1
d_41,22626,2011-03-10,11106,Thursday,6,3,2011,1,0,0
d_42,25572,2011-03-11,11106,Friday,7,3,2011,0,1,1
d_43,32225,2011-03-12,11107,Saturday,1,3,2011,0,1,1
d_44,31417,2011-03-13,11107,Sunday,2,3,2011,0,1,0
d_45,24935,2011-03-14,11107,Monday,3,3,2011,0,0,1
d_46,24021,2011-03-15,11107,Tuesday,4,3,2011,0,1,1
d_47,22765,2011-03-16,11107,Wednesday,5,3,2011,0,0,0
d_48,21779,2011-03-17,11107,Thursday,6,3,2011,0,0,0
d_49,23855,2011-03-18,11107,Friday,7,3,2011,0,0,0
d_50,30599,2011-03-19,11108,Saturday,1,3,2011,0,0,0
d_51,29643,2011-03-20,11108,Sunday,2,3,2011,0,0,0
d_52,23101,2011-03-21,11108,Monday,3,3,2011,0,0,0
d_53,20492,2011-03-22,11108,Tuesday,4,3,2011,0,0,0
d_54,19230,2011-03-23,11108,Wednesday,5,3,2011,0,0,0
d_55,18854,2011-03-24,11108,Thursday,6,3,2011,0,0,0
d_56,23350,2011-03-25,11108,Friday,7,3,2011,0,0,0
d_57,29620,2011-03-26,11109,Saturday,1,3,2011,0,0,0
d_58,29866,2011-03-27,11109,Sunday,2,3,2011,0,0,0
d_59,21449,2011-03-28,11109,Monday,3,3,2011,0,0,0
d_60,19581,2011-03-29,11109,Tuesday,4,3,2011,0,0,0
d_61,18928,2011-03-30,11109,Wednesday,5,3,2011,0,0,0
d_62,21742,2011-03-31,11109,Thursday,6,3,2011,0,0,0
d_63,28309,2011-04-01,11109,Friday,7,4,2011,1,1,0
d_64,33478,2011-04-02,11110,Saturday,1,4,2011,1,0,1
d_65,33058,2011-04-03,11110,Sunday,2,4,2011,1,1,1
d_66,24852,2011-04-04,11110,Monday,3,4,2011,1,0,0
d_67,23581,2011-04-05,11110,Tuesday,4,4,2011,1,1,1
d_68,22656,2011-04-06,11110,Wednesday,5,4,2011,1,1,1
d_69,22901,2011-04-07,11110,Thursday,6,4,2011,1,1,0
d_70,24754,2011-04-08,11110,Friday,7,4,2011,1,0,1
d_71,31745,2011-04-09,11111,Saturday,1,4,2011,1,1,1
d_72,31536,2011-04-10,11111,Sunday,2,4,2011,1,0,0
d_73,24829,2011-04-11,11111,Monday,3,4,2011,0,1,1
d_74,23218,2011-04-12,11111,Tuesday,4,4,2011,0,1,1
d_75,21611,2011-04-13,11111,Wednesday,5,4,2011,0,1,0
d_76,21964,2011-04-14,11111,Thursday,6,4,2011,0,0,1
d_77,25482,2011-04-15,11111,Friday,7,4,2011,0,1,1
d_78,29234,2011-04-16,11112,Saturday,1,4,2011,0,0,0
d_79,29787,2011-04-17,11112,Sunday,2,4,2011,0,0,0
d_80,22389,2011-04-18,11112,Monday,3,4,2011,0,0,0
d_81,19474,2011-04-19,11112,Tuesday,4,4,2011,0,0,0
d_82,20188,2011-04-20,11112,Wednesday,5,4,2011,0,0,0
d_83,19768,2011-04-21,11112,Thursday,6,4,2011,0,0,0
d_84,24279,2011-04-22,11112,Friday,7,4,2011,0,0,0
d_85,29575,2011-04-23,11113,Saturday,1,4,2011,0,0,0
d_86,24018,2011-04-24,11113,Sunday,2,4,2011,0,0,0
d_87,20004,2011-04-25,11113,Monday,3,4,2011,0,0,0
d_88,18113,2011-04-26,11113,Tuesday,4,4,2011,0,0,0
d_89,17929,2011-04-27,11113,Wednesday,5,4,2011,0,0,0
d_90,18145,2011-04-28,11113,Thursday,6,4,2011,0,0,0
d_91,22735,2011-04-29,11113,Friday,7,4,2011,0,0,0
d_92,28101,2011-04-30,11114,Saturday,1,4,2011,0,0,0
d_93,29045,2011-05-01,11114,Sunday,2,5,2011,1,1,0
d_94,22837,2011-05-02,11114,Monday,3,5,2011,1,0,1
d_95,24080,2011-05-03,11114,Tuesday,4,5,2011,1,1,1
d_96,20761,2011-05-04,11114,Wednesday,5,5,2011,1,0,0
d_97,21184,2011-05-05,11114,Thursday,6,5,2011,1,1,1
d_98,24486,2011-05-06,11114,Friday,7,5,2011,1,1,1
d_99,28412,2011-05-07,11115,Saturday,1,5,2011,1,1,0
d_100,23688,2011-05-08,11115,Sunday,2,5,2011,1,0,1
d_101,25024,2011-05-09,11115,Monday,3,5,2011,1,1,1
d_102,22231,2011-05-10,11115,Tuesday,4,5,2011,1,0,0
d_103,22165,2011-05-11,11115,Wednesday,5,5,2011,0,1,1
d_104,22413,2011-05-12,11115,Thursday,6,5,2011,0,1,1
d_105,25648,2011-05-13,11115,Friday,7,5,2011,0,1,0
d_106,28736,2011-05-14,11116,Saturday,1,5,2011,0,0,1
d_107,31320,2011-05-15,11116,Sunday,2,5,2011,0,1,1
d_108,22213,2011-05-16,11116,Monday,3,5,2011,0,0,0
d_109,19613,2011-05-17,11116,Tuesday,4,5,2011,0,0,0
d_110,18770,2011-05-18,11116,Wednesday,5,5,2011,0,0,0
d_111,18684,2011-05-19,11116,Thursday,6,5,2011,0,0,0
d_112,21649,2011-05-20,11116,Friday,7,5,2011,0,0,0
d_113,27112,2011-05-21,11117,Saturday,1,5,2011,0,0,0
d_114,26246,2011-05-22,11117,Sunday,2,5,2011,0,0,0
d_115,20954,2011-05-23,11117,Monday,3,5,2011,0,0,0
d_116,19203,2011-05-24,11117,Tuesday,4,5,2011,0,0,0
d_117,19058,2011-05-25,11117,Wednesday,5,5,2011,0,0,0
d_118,20480,2011-05-26,11117,Thursday,6,5,2011,0,0,0
d_119,22481,2011-05-27,11117,Friday,7,5,2011,0,0,0
d_120,25527,2011-05-28,11118,Saturday,1,5,2011,0,0,0
d_121,23449,2011-05-29,11118,Sunday,2,5,2011,0,0,0
d_122,22538,2011-05-30,11118,Monday,3,5,2011,0,0,0
d_123,19555,2011-05-31,11118,Tuesday,4,5,2011,0,0,0
d_124,23165,2011-06-01,11118,Wednesday,5,6,2011,1,1,0
d_125,22681,2011-06-02,11118,Thursday,6,6,2011,1,0,1
d_126,26781,2011-06-03,11118,Friday,7,6,2011,1,1,1
d_127,30310,2011-06-04,11119,Saturday,1,6,2011,1,0,0
d_128,31604,2011-06-05,11119,Sunday,2,6,2011,1,1,1
d_129,26685,2011-06-06,11119,Monday,3,6,2011,1,1,1
d_130,25089,2011-06-07,11119,Tuesday,4,6,2011,1,1,0
d_131,24453,2011-06-08,11119,Wednesday,5,6,2011,1,0,1
d_132,24782,2011-06-09,11119,Thursday,6,6,2011,1,1,1
d_133,26419,2011-06-10,11119,Friday,7,6,2011,1,0,0
d_134,29940,2011-06-11,11120,Saturday,1,6,2011,0,1,1
d_135,31094,2011-06-12,11120,Sunday,2,6,2011,0,1,1
d_136,25752,2011-06-13,11120,Monday,3,6,2011,0,1,0
d_137,24155,2011-06-14,11120,Tuesday,4,6,2011,0,0,1
d_138,25258,2011-06-15,11120,Wednesday,5,6,2011,0,1,1
d_139,22706,2011-06-16,11120,Thursday,6,6,2011,0,0,0
d_140,24712,2011-06-17,11120,Friday,7,6,2011,0,0,0
d_141,28825,2011-06-18,11121,Saturday,1,6,2011,0,0,0
d_142,26106,2011-06-19,11121,Sunday,2,6,2011,0,0,0
d_143,24261,2011-06-20,11121,Monday,3,6,2011,0,0,0
d_144,21810,2011-06-21,11121,Tuesday,4,6,2011,0,0,0
d_145,21401,2011-06-22,11121,Wednesday,5,6,2011,0,0,0
d_146,22780,2011-06-23,11121,Thursday,6,6,2011,0,0,0
d_147,24638,2011-06-24,11121,Friday,7,6,2011,0,0,0
d_148,26482,2011-06-25,11122,Saturday,1,6,2011,0,0,0
d_149,27668,2011-06-26,11122,Sunday,2,6,2011,0,0,0
d_150,22642,2011-06-27,11122,Monday,3,6,2011,0,0,0
d_151,19800,2011-06-28,11122,Tuesday,4,6,2011,0,0,0
d_152,19930,2011-06-29,11122,Wednesday,5,6,2011,0,0,0
d_153,21451,2011-06-30,11122,Thursday,6,6,2011,0,0,0
d_154,31033,2011-07-01,11122,Friday,7,7,2011,1,1,0
d_155,33001,2011-07-02,11123,Saturday,1,7,2011,1,0,1
d_156,29173,2011-07-03,11123,Sunday,2,7,2011,1,1,1
d_157,23033,2011-07-04,11123,Monday,3,7,2011,1,0,0
d_158,26596,2011-07-05,11123,Tuesday,4,7,2011,1,1,1
d_159,26602,2011-07-06,11123,Wednesday,5,7,2011,1,1,1
d_160,26727,2011-07-07,11123,Thursday,6,7,2011,1,1,0
d_161,27679,2011-07-08,11123,Friday,7,7,2011,1,0,1
d_162,32486,2011-07-09,11124,Saturday,1,7,2011,1,1,1
d_163,31539,2011-07-10,11124,Sunday,2,7,2011,1,0,0
d_164,26592,2011-07-11,11124,Monday,3,7,2011,0,1,1
d_165,24632,2011-07-12,11124,Tuesday,4,7,2011,0,1,1
d_166,23445,2011-07-13,11124,Wednesday,5,7,2011,0,1,0
d_167,23447,2011-07-14,11124,Thursday,6,7,2011,0,0,1
d_168,27349,2011-07-15,11124,Friday,7,7,2011,0,1,1
d_169,30869,2011-07-16,11125,Saturday,1,7,2011,0,0,0
d_170,30334,2011-07-17,11125,Sunday,2,7,2011,0,0,0
d_171,24639,2011-07-18,11125,Monday,3,7,2011,0,0,0
d_172,21931,2011-07-19,11125,Tuesday,4,7,2011,0,0,0
d_173,22487,2011-07-20,11125,Wednesday,5,7,2011,0,0,0
d_174,22778,2011-07-21,11125,Thursday,6,7,2011,0,0,0
d_175,26356,2011-07-22,11125,Friday,7,7,2011,0,0,0
d_176,30284,2011-07-23,11126,Saturday,1,7,2011,0,0,0
d_177,28799,2011-07-24,11126,Sunday,2,7,2011,0,0,0
d_178,22895,2011-07-25,11126,Monday,3,7,2011,0,0,0
d_179,21195,2011-07-26,11126,Tuesday,4,7,2011,0,0,0
d_180,20504,2011-07-27,11126,Wednesday,5,7,2011,0,0,0
d_181,21243,2011-07-28,11126,Thursday,6,7,2011,0,0,0
d_182,24542,2011-07-29,11126,Friday,7,7,2011,0,0,0
d_183,28953,2011-07-30,11127,Saturday,1,7,2011,0,0,0
d_184,28677,2011-07-31,11127,Sunday,2,7,2011,0,0,0
d_185,26607,2011-08-01,11127,Monday,3,8,2011,1,1,0
d_186,25475,2011-08-02,11127,Tuesday,4,8,2011,1,0,1
d_187,27237,2011-08-03,11127,Wednesday,5,8,2011,1,1,1
d_188,23713,2011-08-04,11127,Thursday,6,8,2011,1,0,0
d_189,26594,2011-08-05,11127,Friday,7,8,2011,1,1,1
d_190,31959,2011-08-06,11128,Saturday,1,8,2011,1,1,1
d_191,32006,2011-08-07,11128,Sunday,2,8,2011,1,1,0
d_192,26354,2011-08-08,11128,Monday,3,8,2011,1,0,1
d_193,26213,2011-08-09,11128,Tuesday,4,8,2011,1,1,1
d_194,24578,2011-08-10,11128,Wednesday,5,8,2011,1,0,0
d_195,24708,2011-08-11,11128,Thursday,6,8,2011,0,1,1
d_196,28544,2011-08-12,11128,Friday,7,8,2011,0,1,1
d_197,33003,2011-08-13,11129,Saturday,1,8,2011,0,1,0
d_198,33909,2011-08-14,11129,Sunday,2,8,2011,0,0,1
d_199,28511,2011-08-15,11129,Monday,3,8,2011,0,1,1
d_200,25266,2011-08-16,11129,Tuesday,4,8,2011,0,0,0
d_201,23681,2011-08-17,11129,Wednesday,5,8,2011,0,0,0
d_202,23376,2011-08-18,11129,Thursday,6,8,2011,0,0,0
d_203,27004,2011-08-19,11129,Friday,7,8,2011,0,0,0
d_204,32258,2011-08-20,11130,Saturday,1,8,2011,0,0,0
d_205,33973,2011-08-21,11130,Sunday,2,8,2011,0,0,0
d_206,25324,2011-08-22,11130,Monday,3,8,2011,0,0,0
d_207,22617,2011-08-23,11130,Tuesday,4,8,2011,0,0,0
d_208,21935,2011-08-24,11130,Wednesday,5,8,2011,0,0,0
d_209,21414,2011-08-25,11130,Thursday,6,8,2011,0,0,0
d_210,24268,2011-08-26,11130,Friday,7,8,2011,0,0,0
d_211,30383,2011-08-27,11131,Saturday,1,8,2011,0,0,0
d_212,30626,2011-08-28,11131,Sunday,2,8,2011,0,0,0
d_213,22085,2011-08-29,11131,Monday,3,8,2011,0,0,0
d_214,20350,2011-08-30,11131,Tuesday,4,8,2011,0,0,0
d_215,21723,2011-08-31,11131,Wednesday,5,8,2011,0,0,0
d_216,26299,2011-09-01,11131,Thursday,6,9,2011,1,1,0
d_217,29208,2011-09-02,11131,Friday,7,9,2011,1,0,1
d_218,34032,2011-09-03,11132,Saturday,1,9,2011,1,1,1
d_219,26925,2011-09-04,11132,Sunday,2,9,2011,1,0,0
d_220,30158,2011-09-05,11132,Monday,3,9,2011,1,1,1
d_221,26134,2011-09-06,11132,Tuesday,4,9,2011,1,1,1
d_222,24445,2011-09-07,11132,Wednesday,5,9,2011,1,1,0
d_223,24048,2011-09-08,11132,Thursday,6,9,2011,1,0,1
d_224,28246,2011-09-09,11132,Friday,7,9,2011,1,1,1
d_225,33030,2011-09-10,11133,Saturday,1,9,2011,1,0,0
d_226,34632,2011-09-11,11133,Sunday,2,9,2011,0,1,1
d_227,26138,2011-09-12,11133,Monday,3,9,2011,0,1,1
d_228,24645,2011-09-13,11133,Tuesday,4,9,2011,0,1,0
d_229,23505,2011-09-14,11133,Wednesday,5,9,2011,0,0,1
d_230,26343,2011-09-15,11133,Thursday,6,9,2011,0,1,1
d_231,26933,2011-09-16,11133,Friday,7,9,2011,0,0,0
d_232,32195,2011-09-17,11134,Saturday,1,9,2011,0,0,0
d_233,32034,2011-09-18,11134,Sunday,2,9,2011,0,0,0
d_234,24367,2011-09-19,11134,Monday,3,9,2011,0,0,0
d_235,22675,2011-09-20,11134,Tuesday,4,9,2011,0,0,0
d_236,21796,2011-09-21,11134,Wednesday,5,9,2011,0,0,0
d_237,21859,2011-09-22,11134,Thursday,6,9,2011,0,0,0
d_238,26706,2011-09-23,11134,Friday,7,9,2011,0,0,0
d_239,32466,2011-09-24,11135,Saturday,1,9,2011,0,0,0
d_240,33228,2011-09-25,11135,Sunday,2,9,2011,0,0,0
d_241,24090,2011-09-26,11135,Monday,3,9,2011,0,0,0
d_242,22788,2011-09-27,11135,Tuesday,4,9,2011,0,0,0
d_243,22193,2011-09-28,11135,Wednesday,5,9,2011,0,0,0
d_244,22383,2011-09-29,11135,Thursday,6,9,2011,0,0,0
d_245,30182,2011-09-30,11135,Friday,7,9,2011,0,0,0
d_246,39312,2011-10-01,11136,Saturday,1,10,2011,1,1,0
d_247,37214,2011-10-02,11136,Sunday,2,10,2011,1,0,1
d_248,30455,2011-10-03,11136,Monday,3,10,2011,1,1,1
d_249,26114,2011-10-04,11136,Tuesday,4,10,2011,1,0,0
d_250,25913,2011-10-05,11136,Wednesday,5,10,2011,1,1,1
d_251,26066,2011-10-06,11136,Thursday,6,10,2011,1,1,1
d_252,29985,2011-10-07,11136,Friday,7,10,2011,1,1,0
d_253,35930,2011-10-08,11137,Saturday,1,10,2011,1,0,1
d_254,35940,2011-10-09,11137,Sunday,2,10,2011,1,1,1
d_255,29401,2011-10-10,11137,Monday,3,10,2011,1,0,0
d_256,27427,2011-10-11,11137,Tuesday,4,10,2011,0,1,1
d_257,27414,2011-10-12,11137,Wednesday,5,10,2011,0,1,1
d_258,26116,2011-10-13,11137,Thursday,6,10,2011,0,1,0
d_259,29885,2011-10-14,11137,Friday,7,10,2011,0,0,1
d_260,38426,2011-10-15,11138,Saturday,1,10,2011,0,1,1
d_261,36127,2011-10-16,11138,Sunday,2,10,2011,0,0,0
d_262,27592,2011-10-17,11138,Monday,3,10,2011,0,0,0
d_263,24202,2011-10-18,11138,Tuesday,4,10,2011,0,0,0
d_264,22441,2011-10-19,11138,Wednesday,5,10,2011,0,0,0
d_265,22402,2011-10-20,11138,Thursday,6,10,2011,0,0,0
d_266,27130,2011-10-21,11138,Friday,7,10,2011,0,0,0
d_267,33151,2011-10-22,11139,Saturday,1,10,2011,0,0,0
d_268,32876,2011-10-23,11139,Sunday,2,10,2011,0,0,0
d_269,24516,2011-10-24,11139,Monday,3,10,2011,0,0,0
d_270,22437,2011-10-25,11139,Tuesday,4,10,2011,0,0,0
d_271,22142,2011-10-26,11139,Wednesday,5,10,2011,0,0,0
d_272,22982,2011-10-27,11139,Thursday,6,10,2011,0,0,0
d_273,26880,2011-10-28,11139,Friday,7,10,2011,0,0,0
d_274,33219,2011-10-29,11140,Saturday,1,10,2011,0,0,0
d_275,31853,2011-10-30,11140,Sunday,2,10,2011,0,0,0
d_276,22695,2011-10-31,11140,Monday,3,10,2011,0,0,0
d_277,26039,2011-11-01,11140,Tuesday,4,11,2011,1,1,0
d_278,24808,2011-11-02,11140,Wednesday,5,11,2011,1,0,1
d_279,27902,2011-11-03,11140,Thursday,6,11,2011,1,1,1
d_280,28596,2011-11-04,11140,Friday,7,11,2011,1,0,0
d_281,36887,2011-11-05,11141,Saturday,1,11,2011,1,1,1
d_282,37887,2011-11-06,11141,Sunday,2,11,2011,1,1,1
d_283,27278,2011-11-07,11141,Monday,3,11,2011,1,1,0
d_284,25188,2011-11-08,11141,Tuesday,4,11,2011,1,0,1
d_285,26092,2011-11-09,11141,Wednesday,5,11,2011,1,1,1
d_286,26147,2011-11-10,11141,Thursday,6,11,2011,1,0,0
d_287,29755,2011-11-11,11141,Friday,7,11,2011,0,1,1
d_288,35922,2011-11-12,11142,Saturday,1,11,2011,0,1,1
d_289,35348,2011-11-13,11142,Sunday,2,11,2011,0,1,0
d_290,26773,2011-11-14,11142,Monday,3,11,2011,0,0,1
d_291,26701,2011-11-15,11142,Tuesday,4,11,2011,0,1,1
d_292,23928,2011-11-16,11142,Wednesday,5,11,2011,0,0,0
d_293,23114,2011-11-17,11142,Thursday,6,11,2011,0,0,0
d_294,26507,2011-11-18,11142,Friday,7,11,2011,0,0,0
d_295,33545,2011-11-19,11143,Saturday,1,11,2011,0,0,0
d_296,32753,2011-11-20,11143,Sunday,2,11,2011,0,0,0
d_297,25574,2011-11-21,11143,Monday,3,11,2011,0,0,0
d_298,25654,2011-11-22,11143,Tuesday,4,11,2011,0,0,0
d_299,30787,2011-11-23,11143,Wednesday,5,11,2011,0,0,0
d_300,18427,2011-11-24,11143,Thursday,6,11,2011,0,0,0
d_301,23998,2011-11-25,11143,Friday,7,11,2011,0,0,0
d_302,25292,2011-11-26,11144,Saturday,1,11,2011,0,0,0
d_303,27134,2011-11-27,11144,Sunday,2,11,2011,0,0,0
d_304,22378,2011-11-28,11144,Monday,3,11,2011,0,0,0
d_305,21584,2011-11-29,11144,Tuesday,4,11,2011,0,0,0
d_306,21089,2011-11-30,11144,Wednesday,5,11,2011,0,0,0
d_307,26268,2011-12-01,11144,Thursday,6,12,2011,1,1,0
d_308,29727,2011-12-02,11144,Friday,7,12,2011,1,0,1
d_309,38129,2011-12-03,11145,Saturday,1,12,2011,1,1,1
d_310,35078,2011-12-04,11145,Sunday,2,12,2011,1,0,0
d_311,29220,2011-12-05,11145,Monday,3,12,2011,1,1,1
d_312,27267,2011-12-06,11145,Tuesday,4,12,2011,1,1,1
d_313,25453,2011-12-07,11145,Wednesday,5,12,2011,1,1,0
d_314,26347,2011-12-08,11145,Thursday,6,12,2011,1,0,1
d_315,29438,2011-12-09,11145,Friday,7,12,2011,1,1,1
d_316,34786,2011-12-10,11146,Saturday,1,12,2011,1,0,0
d_317,35743,2011-12-11,11146,Sunday,2,12,2011,0,1,1
d_318,29151,2011-12-12,11146,Monday,3,12,2011,0,1,1
d_319,26913,2011-12-13,11146,Tuesday,4,12,2011,0,1,0
d_320,26794,2011-12-14,11146,Wednesday,5,12,2011,0,0,1
d_321,29644,2011-12-15,11146,Thursday,6,12,2011,0,1,1
d_322,28885,2011-12-16,11146,Friday,7,12,2011,0,0,0
d_323,34159,2011-12-17,11147,Saturday,1,12,2011,0,0,0
d_324,32087,2011-12-18,11147,Sunday,2,12,2011,0,0,0
d_325,27068,2011-12-19,11147,Monday,3,12,2011,0,0,0
d_326,26262,2011-12-20,11147,Tuesday,4,12,2011,0,0,0
d_327,26662,2011-12-21,11147,Wednesday,5,12,2011,0,0,0
d_328,28182,2011-12-22,11147,Thursday,6,12,2011,0,0,0
d_329,34646,2011-12-23,11147,Friday,7,12,2011,0,0,0
d_330,29958,2011-12-24,11148,Saturday,1,12,2011,0,0,0
d_331,13,2011-12-25,11148,Sunday,2,12,2011,0,0,0
d_332,28032,2011-12-26,11148,Monday,3,12,2011,0,0,0
d_333,24651,2011-12-27,11148,Tuesday,4,12,2011,0,0,0
d_334,24791,2011-12-28,11148,Wednesday,5,12,2011,0,0,0
d_335,24541,2011-12-29,11148,Thursday,6,12,2011,0,0,0
d_336,33652,2011-12-30,11148,Friday,7,12,2011,0,0,0
d_337,33751,2011-12-31,11149,Saturday,1,12,2011,0,0,0
d_338,21807,2012-01-01,11149,Sunday,2,1,2012,1,1,0
d_339,33053,2012-01-02,11149,Monday,3,1,2012,1,0,1
d_340,28751,2012-01-03,11149,Tuesday,4,1,2012,1,1,1
d_341,25821,2012-01-04,11149,Wednesday,5,1,2012,1,0,0
d_342,28499,2012-01-05,11149,Thursday,6,1,2012,1,1,1
d_343,30405,2012-01-06,11149,Friday,7,1,2012,1,1,1
d_344,37143,2012-01-07,11150,Saturday,1,1,2012,1,1,0
d_345,36722,2012-01-08,11150,Sunday,2,1,2012,1,0,1
d_346,28206,2012-01-09,11150,Monday,3,1,2012,1,1,1
d_347,26640,2012-01-10,11150,Tuesday,4,1,2012,1,0,0
d_348,29044,2012-01-11,11150,Wednesday,5,1,2012,0,1,1
d_349,24715,2012-01-12,11150,Thursday,6,1,2012,0,1,1
d_350,29463,2012-01-13,11150,Friday,7,1,2012,0,1,0
d_351,36815,2012-01-14,11151,Saturday,1,1,2012,0,0,1
d_352,36459,2012-01-15,11151,Sunday,2,1,2012,0,1,1
d_353,30548,2012-01-16,11151,Monday,3,1,2012,0,0,0
d_354,22187,2012-01-17,11151,Tuesday,4,1,2012,0,0,0
d_355,25348,2012-01-18,11151,Wednesday,5,1,2012,0,0,0
d_356,24034,2012-01-19,11151,Thursday,6,1,2012,0,0,0
d_357,27204,2012-01-20,11151,Friday,7,1,2012,0,0,0
d_358,38578,2012-01-21,11152,Saturday,1,1,2012,0,0,0
d_359,32587,2012-01-22,11152,Sunday,2,1,2012,0,0,0
d_360,24702,2012-01-23,11152,Monday,3,1,2012,0,0,0
d_361,23549,2012-01-24,11152,Tuesday,4,1,2012,0,0,0
d_362,22408,2012-01-25,11152,Wednesday,5,1,2012,0,0,0
d_363,23237,2012-01-26,11152,Thursday,6,1,2012,0,0,0
d_364,27199,2012-01-27,11152,Friday,7,1,2012,0,0,0
d_365,34362,2012-01-28,11201,Saturday,1,1,2012,0,0,0
d_366,33577,2012-01-29,11201,Sunday,2,1,2012,0,0,0
d_367,25188,2012-01-30,11201,Monday,3,1,2012,0,0,0
d_368,25124,2012-01-31,11201,Tuesday,4,1,2012,0,0,0
d_369,29851,2012-02-01,11201,Wednesday,5,2,2012,1,1,0
d_370,28615,2012-02-02,11201,Thursday,6,2,2012,1,0,1
d_371,35104,2012-02-03,11201,Friday,7,2,2012,1,1,1
d_372,43029,2012-02-04,11202,Saturday,1,2,2012,1,0,0
d_373,40075,2012-02-05,11202,Sunday,2,2,2012,1,1,1
d_374,30681,2012-02-06,11202,Monday,3,2,2012,1,1,1
d_375,28108,2012-02-07,11202,Tuesday,4,2,2012,1,1,0
d_376,28579,2012-02-08,11202,Wednesday,5,2,2012,1,0,1
d_377,29927,2012-02-09,11202,Thursday,6,2,2012,1,1,1
d_378,29863,2012-02-10,11202,Friday,7,2,2012,1,0,0
d_379,41757,2012-02-11,11203,Saturday,1,2,2012,0,1,1
d_380,41904,2012-02-12,11203,Sunday,2,2,2012,0,1,1
d_381,31675,2012-02-13,11203,Monday,3,2,2012,0,1,0
d_382,25100,2012-02-14,11203,Tuesday,4,2,2012,0,0,1
d_383,26878,2012-02-15,11203,Wednesday,5,2,2012,0,1,1
d_384,25195,2012-02-16,11203,Thursday,6,2,2012,0,0,0
d_385,27604,2012-02-17,11203,Friday,7,2,2012,0,0,0
d_386,36622,2012-02-18,11204,Saturday,1,2,2012,0,0,0
d_387,36338,2012-02-19,11204,Sunday,2,2,2012,0,0,0
d_388,30218,2012-02-20,11204,Monday,3,2,2012,0,0,0
d_389,25190,2012-02-21,11204,Tuesday,4,2,2012,0,0,0
d_390,24115,2012-02-22,11204,Wednesday,5,2,2012,0,0,0
d_391,25211,2012-02-23,11204,Thursday,6,2,2012,0,0,0
d_392,27870,2012-02-24,11204,Friday,7,2,2012,0,0,0
d_393,35769,2012-02-25,11205,Saturday,1,2,2012,0,0,0
d_394,36281,2012-02-26,11205,Sunday,2,2,2012,0,0,0
d_395,27270,2012-02-27,11205,Monday,3,2,2012,0,0,0
d_396,24359,2012-02-28,11205,Tuesday,4,2,2012,0,0,0
d_397,24802,2012-02-29,11205,Wednesday,5,2,2012,0,0,0
