d,sales,date,wm_yr_wk,weekday,wday,month,year,snap_CA,snap_TX,snap_WI,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_14,rolling_mean_28
d_47,22765,2011-03-16,11107,Wednesday,5,3,2011,0,0,0,22560.0,22046.0,21443.0,26223.0,26182.85714285714,25156.214285714286
d_48,21779,2011-03-17,11107,Thursday,6,3,2011,0,0,0,22626.0,23475.0,20318.0,26102.0,26061.714285714286,25208.39285714286
d_49,23855,2011-03-18,11107,Friday,7,3,2011,0,0,0,25572.0,23572.0,23721.0,25856.714285714286,26081.928571428572,25213.178571428572
d_50,30599,2011-03-19,11108,Saturday,1,3,2011,0,0,0,32225.0,31202.0,31689.0,25624.428571428572,26038.85714285714,25174.25
d_51,29643,2011-03-20,11108,Sunday,2,3,2011,0,0,0,31417.0,34876.0,29283.0,25371.0,25665.071428571428,25187.10714285714
d_52,23101,2011-03-21,11108,Monday,3,3,2011,0,0,0,24935.0,24562.0,23966.0,25109.0,25560.714285714286,25156.214285714286
d_53,20492,2011-03-22,11108,Tuesday,4,3,2011,0,0,0,24021.0,22752.0,20501.0,24604.85714285714,25399.285714285714,25155.89285714286
d_54,19230,2011-03-23,11108,Wednesday,5,3,2011,0,0,0,22765.0,22560.0,20757.0,24099.85714285714,25161.428571428572,25101.35714285714
d_55,18854,2011-03-24,11108,Thursday,6,3,2011,0,0,0,21779.0,22626.0,20277.0,23682.0,24892.0,25050.535714285714
d_56,23350,2011-03-25,11108,Friday,7,3,2011,0,0,0,23855.0,25572.0,22529.0,23609.85714285714,24733.285714285714,25079.85714285714
d_57,29620,2011-03-26,11109,Saturday,1,3,2011,0,0,0,30599.0,32225.0,29908.0,23470.0,24547.214285714286,25069.571428571428
d_58,29866,2011-03-27,11109,Sunday,2,3,2011,0,0,0,29643.0,31417.0,28707.0,23501.85714285714,24436.428571428572,25110.964285714286
d_59,21449,2011-03-28,11109,Monday,3,3,2011,0,0,0,23101.0,24935.0,21240.0,23265.85714285714,24187.428571428572,25118.428571428572
d_60,19581,2011-03-29,11109,Tuesday,4,3,2011,0,0,0,20492.0,24021.0,22872.0,23135.714285714286,23870.285714285714,25000.89285714286
d_61,18928,2011-03-30,11109,Wednesday,5,3,2011,0,0,0,19230.0,22765.0,22046.0,23092.571428571428,23596.214285714286,24889.535714285714
d_62,21742,2011-03-31,11109,Thursday,6,3,2011,0,0,0,18854.0,21779.0,23475.0,23505.14285714286,23593.571428571428,24827.64285714286
d_63,28309,2011-04-01,11109,Friday,7,4,2011,1,1,0,23350.0,23855.0,23572.0,24213.571428571428,23911.714285714286,24996.821428571428
d_64,33478,2011-04-02,11110,Saturday,1,4,2011,1,0,1,29620.0,30599.0,31202.0,24764.714285714286,24117.35714285714,25078.10714285714
d_65,33058,2011-04-03,11110,Sunday,2,4,2011,1,1,1,29866.0,29643.0,34876.0,25220.714285714286,24361.285714285714,25013.178571428572
d_66,24852,2011-04-04,11110,Monday,3,4,2011,1,0,0,21449.0,23101.0,24562.0,25706.85714285714,24486.35714285714,25023.535714285714
d_67,23581,2011-04-05,11110,Tuesday,4,4,2011,1,1,1,19581.0,20492.0,22752.0,26278.285714285714,24707.0,25053.14285714286
d_68,22656,2011-04-06,11110,Wednesday,5,4,2011,1,1,1,18928.0,19230.0,22560.0,26810.85714285714,24951.714285714286,25056.571428571428
d_69,22901,2011-04-07,11110,Thursday,6,4,2011,1,1,0,21742.0,18854.0,22626.0,26976.428571428572,25240.785714285714,25066.39285714286
d_70,24754,2011-04-08,11110,Friday,7,4,2011,1,0,1,28309.0,23350.0,25572.0,26468.571428571428,25341.071428571428,25037.178571428572
d_71,31745,2011-04-09,11111,Saturday,1,4,2011,1,1,1,33478.0,29620.0,32225.0,26221.0,25492.85714285714,25020.035714285714
d_72,31536,2011-04-10,11111,Sunday,2,4,2011,1,0,0,33058.0,29866.0,31417.0,26003.571428571428,25612.14285714286,25024.285714285714
d_73,24829,2011-04-11,11111,Monday,3,4,2011,0,1,1,24852.0,21449.0,24935.0,26000.285714285714,25853.571428571428,25020.5
d_74,23218,2011-04-12,11111,Tuesday,4,4,2011,0,1,1,23581.0,19581.0,24021.0,25948.428571428572,26113.35714285714,24991.821428571428
d_75,21611,2011-04-13,11111,Wednesday,5,4,2011,0,1,0,22656.0,18928.0,22765.0,25799.14285714286,26305.0,24950.60714285714
d_76,21964,2011-04-14,11111,Thursday,6,4,2011,0,0,1,22901.0,21742.0,21779.0,25665.285714285714,26320.85714285714,24957.214285714286
d_77,25482,2011-04-15,11111,Friday,7,4,2011,0,1,1,24754.0,28309.0,23855.0,25769.285714285714,26118.928571428572,25015.321428571428
d_78,29234,2011-04-16,11112,Saturday,1,4,2011,0,0,0,31745.0,33478.0,30599.0,25410.571428571428,25815.785714285714,24966.571428571428
d_79,29787,2011-04-17,11112,Sunday,2,4,2011,0,0,0,31536.0,33058.0,29643.0,25160.714285714286,25582.14285714286,24971.714285714286
d_80,22389,2011-04-18,11112,Monday,3,4,2011,0,0,0,24829.0,24852.0,23101.0,24812.14285714286,25406.214285714286,24946.285714285714
d_81,19474,2011-04-19,11112,Tuesday,4,4,2011,0,0,0,23218.0,23581.0,20492.0,24277.285714285714,25112.85714285714,24909.928571428572
d_82,20188,2011-04-20,11112,Wednesday,5,4,2011,0,0,0,21611.0,22656.0,19230.0,24074.0,24936.571428571428,24944.14285714286
d_83,19768,2011-04-21,11112,Thursday,6,4,2011,0,0,0,21964.0,22901.0,18854.0,23760.285714285714,24712.785714285714,24976.785714285714
d_84,24279,2011-04-22,11112,Friday,7,4,2011,0,0,0,25482.0,24754.0,23350.0,23588.428571428572,24678.85714285714,25009.964285714286
d_85,29575,2011-04-23,11113,Saturday,1,4,2011,0,0,0,29234.0,31745.0,29620.0,23637.14285714286,24523.85714285714,25008.35714285714
d_86,24018,2011-04-24,11113,Sunday,2,4,2011,0,0,0,29787.0,31536.0,29866.0,22813.0,23986.85714285714,24799.5
d_87,20004,2011-04-25,11113,Monday,3,4,2011,0,0,0,22389.0,24829.0,21449.0,22472.285714285714,23642.214285714286,24747.89285714286
d_88,18113,2011-04-26,11113,Tuesday,4,4,2011,0,0,0,19474.0,23218.0,19581.0,22277.85714285714,23277.571428571428,24695.464285714286
d_89,17929,2011-04-27,11113,Wednesday,5,4,2011,0,0,0,20188.0,21611.0,18928.0,21955.14285714286,23014.571428571428,24659.785714285714
d_90,18145,2011-04-28,11113,Thursday,6,4,2011,0,0,0,19768.0,21964.0,21742.0,21723.285714285714,22741.785714285714,24531.321428571428
d_91,22735,2011-04-29,11113,Friday,7,4,2011,0,0,0,24279.0,25482.0,28309.0,21502.714285714286,22545.571428571428,24332.25
d_92,28101,2011-04-30,11114,Saturday,1,4,2011,0,0,0,29575.0,29234.0,33478.0,21292.14285714286,22464.64285714286,24140.214285714286
d_93,29045,2011-05-01,11114,Sunday,2,5,2011,1,1,0,24018.0,29787.0,33058.0,22010.285714285714,22411.64285714286,23996.89285714286
d_94,22837,2011-05-02,11114,Monday,3,5,2011,1,0,1,20004.0,22389.0,24852.0,22415.0,22443.64285714286,23924.928571428572
d_95,24080,2011-05-03,11114,Tuesday,4,5,2011,1,1,1,18113.0,19474.0,23581.0,23267.428571428572,22772.64285714286,23942.75
d_96,20761,2011-05-04,11114,Wednesday,5,5,2011,1,0,0,17929.0,20188.0,22656.0,23672.0,22813.571428571428,23875.071428571428
d_97,21184,2011-05-05,11114,Thursday,6,5,2011,1,1,1,18145.0,19768.0,22901.0,24106.14285714286,22914.714285714286,23813.75
d_98,24486,2011-05-06,11114,Friday,7,5,2011,1,1,1,22735.0,24279.0,24754.0,24356.285714285714,22929.5,23804.178571428572
d_99,28412,2011-05-07,11115,Saturday,1,5,2011,1,1,0,28101.0,29575.0,31745.0,24400.714285714286,22846.428571428572,23685.14285714286
d_100,23688,2011-05-08,11115,Sunday,2,5,2011,1,0,1,29045.0,24018.0,31536.0,23635.428571428572,22822.85714285714,23404.85714285714
d_101,25024,2011-05-09,11115,Monday,3,5,2011,1,1,1,22837.0,20004.0,24829.0,23947.85714285714,23181.428571428572,23411.821428571428
d_102,22231,2011-05-10,11115,Tuesday,4,5,2011,1,0,0,24080.0,18113.0,23218.0,23683.714285714286,23475.571428571428,23376.571428571428
d_103,22165,2011-05-11,11115,Wednesday,5,5,2011,0,1,1,20761.0,17929.0,21611.0,23884.285714285714,23778.14285714286,23396.35714285714
d_104,22413,2011-05-12,11115,Thursday,6,5,2011,0,1,1,21184.0,18145.0,21964.0,24059.85714285714,24083.0,23412.39285714286
d_105,25648,2011-05-13,11115,Friday,7,5,2011,0,1,0,24486.0,22735.0,25482.0,24225.85714285714,24291.071428571428,23418.321428571428
d_106,28736,2011-05-14,11116,Saturday,1,5,2011,0,0,1,28412.0,28101.0,29234.0,24272.14285714286,24336.428571428572,23400.535714285714
d_107,31320,2011-05-15,11116,Sunday,2,5,2011,0,1,1,23688.0,29045.0,29787.0,25362.428571428572,24498.928571428572,23455.285714285714
d_108,22213,2011-05-16,11116,Monday,3,5,2011,0,0,0,25024.0,22837.0,22389.0,24960.85714285714,24454.35714285714,23449.0
d_109,19613,2011-05-17,11116,Tuesday,4,5,2011,0,0,0,22231.0,24080.0,19474.0,24586.85714285714,24135.285714285714,23453.964285714286
d_110,18770,2011-05-18,11116,Wednesday,5,5,2011,0,0,0,22165.0,20761.0,20188.0,24101.85714285714,23993.071428571428,23403.321428571428
d_111,18684,2011-05-19,11116,Thursday,6,5,2011,0,0,0,22413.0,21184.0,19768.0,23569.14285714286,23814.5,23364.60714285714
d_112,21649,2011-05-20,11116,Friday,7,5,2011,0,0,0,25648.0,24486.0,24279.0,22997.85714285714,23611.85714285714,23270.678571428572
d_113,27112,2011-05-21,11117,Saturday,1,5,2011,0,0,0,28736.0,28412.0,29575.0,22765.85714285714,23519.0,23182.714285714286
d_114,26246,2011-05-22,11117,Sunday,2,5,2011,0,0,0,31320.0,23688.0,24018.0,22041.0,23701.714285714286,23262.285714285714
d_115,20954,2011-05-23,11117,Monday,3,5,2011,0,0,0,22213.0,25024.0,20004.0,21861.14285714286,23411.0,23296.214285714286
d_116,19203,2011-05-24,11117,Tuesday,4,5,2011,0,0,0,19613.0,22231.0,18113.0,21802.571428571428,23194.714285714286,23335.14285714286
d_117,19058,2011-05-25,11117,Wednesday,5,5,2011,0,0,0,18770.0,22165.0,17929.0,21843.714285714286,22972.785714285714,23375.464285714286
d_118,20480,2011-05-26,11117,Thursday,6,5,2011,0,0,0,18684.0,22413.0,18145.0,22100.285714285714,22834.714285714286,23458.85714285714
d_119,22481,2011-05-27,11117,Friday,7,5,2011,0,0,0,21649.0,25648.0,22735.0,22219.14285714286,22608.5,23449.785714285714
d_120,25527,2011-05-28,11118,Saturday,1,5,2011,0,0,0,27112.0,28736.0,28101.0,21992.714285714286,22379.285714285714,23357.85714285714
d_121,23449,2011-05-29,11118,Sunday,2,5,2011,0,0,0,26246.0,31320.0,29045.0,21593.14285714286,21817.071428571428,23158.0
d_122,22538,2011-05-30,11118,Monday,3,5,2011,0,0,0,20954.0,22213.0,22837.0,21819.428571428572,21840.285714285714,23147.321428571428
d_123,19555,2011-05-31,11118,Tuesday,4,5,2011,0,0,0,19203.0,19613.0,24080.0,21869.714285714286,21836.14285714286,22985.714285714286
d_124,23165,2011-06-01,11118,Wednesday,5,6,2011,1,1,0,19058.0,18770.0,20761.0,22456.428571428572,22150.071428571428,23071.571428571428
d_125,22681,2011-06-02,11118,Thursday,6,6,2011,1,0,1,20480.0,18684.0,21184.0,22770.85714285714,22435.571428571428,23125.035714285714
d_126,26781,2011-06-03,11118,Friday,7,6,2011,1,1,1,22481.0,21649.0,24486.0,23385.14285714286,22802.14285714286,23207.0
d_127,30310,2011-06-04,11119,Saturday,1,6,2011,1,0,0,25527.0,27112.0,28412.0,24068.428571428572,23030.571428571428,23274.785714285714
d_128,31604,2011-06-05,11119,Sunday,2,6,2011,1,1,1,23449.0,26246.0,23688.0,25233.428571428572,23413.285714285714,23557.5
d_129,26685,2011-06-06,11119,Monday,3,6,2011,1,1,1,22538.0,20954.0,25024.0,25825.85714285714,23822.64285714286,23616.821428571428
d_130,25089,2011-06-07,11119,Tuesday,4,6,2011,1,1,0,19555.0,19203.0,22231.0,26616.428571428572,24243.071428571428,23718.89285714286
d_131,24453,2011-06-08,11119,Wednesday,5,6,2011,1,0,1,23165.0,19058.0,22165.0,26800.428571428572,24628.428571428572,23800.60714285714
d_132,24782,2011-06-09,11119,Thursday,6,6,2011,1,1,1,22681.0,20480.0,22413.0,27100.571428571428,24935.714285714286,23885.214285714286
d_133,26419,2011-06-10,11119,Friday,7,6,2011,1,0,0,26781.0,22481.0,25648.0,27048.85714285714,25217.0,23912.75
d_134,29940,2011-06-11,11120,Saturday,1,6,2011,0,1,1,30310.0,25527.0,28736.0,26996.0,25532.214285714286,23955.75
d_135,31094,2011-06-12,11120,Sunday,2,6,2011,0,1,1,31604.0,23449.0,31320.0,26923.14285714286,26078.285714285714,23947.678571428572
d_136,25752,2011-06-13,11120,Monday,3,6,2011,0,1,0,26685.0,22538.0,22213.0,26789.85714285714,26307.85714285714,24074.071428571428
d_137,24155,2011-06-14,11120,Tuesday,4,6,2011,0,0,1,25089.0,19555.0,19613.0,26656.428571428572,26636.428571428572,24236.285714285714
d_138,25258,2011-06-15,11120,Wednesday,5,6,2011,0,1,1,24453.0,23165.0,18770.0,26771.428571428572,26785.928571428572,24468.0
d_139,22706,2011-06-16,11120,Thursday,6,6,2011,0,0,0,24782.0,22681.0,18684.0,26474.85714285714,26787.714285714286,24611.64285714286
d_140,24712,2011-06-17,11120,Friday,7,6,2011,0,0,0,26419.0,26781.0,21649.0,26231.0,26639.928571428572,24721.035714285714
d_141,28825,2011-06-18,11121,Saturday,1,6,2011,0,0,0,29940.0,30310.0,27112.0,26071.714285714286,26533.85714285714,24782.214285714286
d_142,26106,2011-06-19,11121,Sunday,2,6,2011,0,0,0,31094.0,31604.0,26246.0,25359.14285714286,26141.14285714286,24777.214285714286
d_143,24261,2011-06-20,11121,Monday,3,6,2011,0,0,0,25752.0,26685.0,20954.0,25146.14285714286,25968.0,24895.321428571428
d_144,21810,2011-06-21,11121,Tuesday,4,6,2011,0,0,0,24155.0,25089.0,19203.0,24811.14285714286,25733.785714285714,24988.428571428572
d_145,21401,2011-06-22,11121,Wednesday,5,6,2011,0,0,0,25258.0,24453.0,19058.0,24260.14285714286,25515.785714285714,25072.10714285714
d_146,22780,2011-06-23,11121,Thursday,6,6,2011,0,0,0,22706.0,24782.0,20480.0,24270.714285714286,25372.785714285714,25154.25
d_147,24638,2011-06-24,11121,Friday,7,6,2011,0,0,0,24712.0,26419.0,22481.0,24260.14285714286,25245.571428571428,25231.285714285714
d_148,26482,2011-06-25,11122,Saturday,1,6,2011,0,0,0,28825.0,29940.0,25527.0,23925.428571428572,24998.571428571428,25265.39285714286
d_149,27668,2011-06-26,11122,Sunday,2,6,2011,0,0,0,26106.0,31094.0,23449.0,24148.571428571428,24753.85714285714,25416.071428571428
d_150,22642,2011-06-27,11122,Monday,3,6,2011,0,0,0,24261.0,25752.0,22538.0,23917.285714285714,24531.714285714286,25419.785714285714
d_151,19800,2011-06-28,11122,Tuesday,4,6,2011,0,0,0,21810.0,24155.0,19555.0,23630.14285714286,24220.64285714286,25428.535714285714
d_152,19930,2011-06-29,11122,Wednesday,5,6,2011,0,0,0,21401.0,25258.0,23165.0,23420.0,23840.071428571428,25313.0
d_153,21451,2011-06-30,11122,Thursday,6,6,2011,0,0,0,22780.0,22706.0,22681.0,23230.14285714286,23750.428571428572,25269.071428571428
d_154,31033,2011-07-01,11122,Friday,7,7,2011,1,1,0,24638.0,24712.0,26781.0,24143.714285714286,24201.928571428572,25420.928571428572
d_155,33001,2011-07-02,11123,Saturday,1,7,2011,1,0,1,26482.0,28825.0,30310.0,25075.0,24500.214285714286,25517.035714285714
d_156,29173,2011-07-03,11123,Sunday,2,7,2011,1,1,1,27668.0,26106.0,31604.0,25290.0,24719.285714285714,25430.214285714286
d_157,23033,2011-07-04,11123,Monday,3,7,2011,1,0,0,22642.0,24261.0,26685.0,25345.85714285714,24631.571428571428,25299.785714285714
d_158,26596,2011-07-05,11123,Tuesday,4,7,2011,1,1,1,19800.0,21810.0,25089.0,26316.714285714286,24973.428571428572,25353.60714285714
d_159,26602,2011-07-06,11123,Wednesday,5,7,2011,1,1,1,19930.0,21401.0,24453.0,27269.85714285714,25344.928571428572,25430.35714285714
d_160,26727,2011-07-07,11123,Thursday,6,7,2011,1,1,0,21451.0,22780.0,24782.0,28023.571428571428,25626.85714285714,25499.821428571428
d_161,27679,2011-07-08,11123,Friday,7,7,2011,1,0,1,31033.0,24638.0,26419.0,27544.428571428572,25844.071428571428,25544.821428571428
d_162,32486,2011-07-09,11124,Saturday,1,7,2011,1,1,1,33001.0,26482.0,29940.0,27470.85714285714,26272.928571428572,25635.75
d_163,31539,2011-07-10,11124,Sunday,2,7,2011,1,0,0,29173.0,27668.0,31094.0,27808.85714285714,26549.428571428572,25651.64285714286
d_164,26592,2011-07-11,11124,Monday,3,7,2011,0,1,1,23033.0,22642.0,25752.0,28317.285714285714,26831.571428571428,25681.64285714286
d_165,24632,2011-07-12,11124,Tuesday,4,7,2011,0,1,1,26596.0,19800.0,24155.0,28036.714285714286,27176.714285714286,25698.678571428572
d_166,23445,2011-07-13,11124,Wednesday,5,7,2011,0,1,0,26602.0,19930.0,25258.0,27585.714285714286,27427.785714285714,25633.928571428572
d_167,23447,2011-07-14,11124,Thursday,6,7,2011,0,0,1,26727.0,21451.0,22706.0,27117.14285714286,27570.35714285714,25660.39285714286
d_168,27349,2011-07-15,11124,Friday,7,7,2011,0,1,1,27679.0,31033.0,24712.0,27070.0,27307.214285714286,25754.571428571428
d_169,30869,2011-07-16,11125,Saturday,1,7,2011,0,0,0,32486.0,33001.0,28825.0,26839.0,27154.928571428572,25827.571428571428
d_170,30334,2011-07-17,11125,Sunday,2,7,2011,0,0,0,31539.0,29173.0,26106.0,26666.85714285714,27237.85714285714,25978.571428571428
d_171,24639,2011-07-18,11125,Monday,3,7,2011,0,0,0,26592.0,23033.0,24261.0,26387.85714285714,27352.571428571428,25992.071428571428
d_172,21931,2011-07-19,11125,Tuesday,4,7,2011,0,0,0,24632.0,26596.0,21810.0,26002.0,27019.35714285714,25996.39285714286
d_173,22487,2011-07-20,11125,Wednesday,5,7,2011,0,0,0,23445.0,26602.0,21401.0,25865.14285714286,26725.428571428572,26035.178571428572
d_174,22778,2011-07-21,11125,Thursday,6,7,2011,0,0,0,23447.0,26727.0,22780.0,25769.571428571428,26443.35714285714,26035.10714285714
d_175,26356,2011-07-22,11125,Friday,7,7,2011,0,0,0,27349.0,27679.0,24638.0,25627.714285714286,26348.85714285714,26096.464285714286
d_176,30284,2011-07-23,11126,Saturday,1,7,2011,0,0,0,30869.0,32486.0,26482.0,25544.14285714286,26191.571428571428,26232.25
d_177,28799,2011-07-24,11126,Sunday,2,7,2011,0,0,0,30334.0,31539.0,27668.0,25324.85714285714,25995.85714285714,26272.64285714286
d_178,22895,2011-07-25,11126,Monday,3,7,2011,0,0,0,24639.0,26592.0,22642.0,25075.714285714286,25731.785714285714,26281.678571428572
d_179,21195,2011-07-26,11126,Tuesday,4,7,2011,0,0,0,21931.0,24632.0,19800.0,24970.571428571428,25486.285714285714,26331.5
d_180,20504,2011-07-27,11126,Wednesday,5,7,2011,0,0,0,22487.0,23445.0,19930.0,24687.285714285714,25276.214285714286,26352.0
d_181,21243,2011-07-28,11126,Thursday,6,7,2011,0,0,0,22778.0,23447.0,21451.0,24468.0,25118.785714285714,26344.571428571428
d_182,24542,2011-07-29,11126,Friday,7,7,2011,0,0,0,26356.0,27349.0,31033.0,24208.85714285714,24918.285714285714,26112.75
d_183,28953,2011-07-30,11127,Saturday,1,7,2011,0,0,0,30284.0,30869.0,33001.0,24018.714285714286,24781.428571428572,25968.178571428572
d_184,28677,2011-07-31,11127,Sunday,2,7,2011,0,0,0,28799.0,30334.0,29173.0,24001.285714285714,24663.071428571428,25950.464285714286
d_185,26607,2011-08-01,11127,Monday,3,8,2011,1,1,0,22895.0,24639.0,23033.0,24531.571428571428,24803.64285714286,26078.10714285714
d_186,25475,2011-08-02,11127,Tuesday,4,8,2011,1,0,1,21195.0,21931.0,26596.0,25143.0,25056.785714285714,26038.071428571428
d_187,27237,2011-08-03,11127,Wednesday,5,8,2011,1,1,1,20504.0,22487.0,26602.0,26104.85714285714,25396.071428571428,26060.75
d_188,23713,2011-08-04,11127,Thursday,6,8,2011,1,0,0,21243.0,22778.0,26727.0,26457.714285714286,25462.85714285714,25953.10714285714
d_189,26594,2011-08-05,11127,Friday,7,8,2011,1,1,1,24542.0,26356.0,27679.0,26750.85714285714,25479.85714285714,25914.35714285714
d_190,31959,2011-08-06,11128,Saturday,1,8,2011,1,1,1,28953.0,30284.0,32486.0,27180.285714285714,25599.5,25895.535714285714
d_191,32006,2011-08-07,11128,Sunday,2,8,2011,1,1,0,28677.0,28799.0,31539.0,27655.85714285714,25828.571428571428,25912.214285714286
d_192,26354,2011-08-08,11128,Monday,3,8,2011,1,0,1,26607.0,22895.0,26592.0,27619.714285714286,26075.64285714286,25903.714285714286
d_193,26213,2011-08-09,11128,Tuesday,4,8,2011,1,1,1,25475.0,21195.0,24632.0,27725.14285714286,26434.071428571428,25960.178571428572
d_194,24578,2011-08-10,11128,Wednesday,5,8,2011,1,0,0,27237.0,20504.0,23445.0,27345.285714285714,26725.071428571428,26000.64285714286
d_195,24708,2011-08-11,11128,Thursday,6,8,2011,0,1,1,23713.0,21243.0,23447.0,27487.428571428572,26972.571428571428,26045.678571428572
d_196,28544,2011-08-12,11128,Friday,7,8,2011,0,1,1,26594.0,24542.0,27349.0,27766.0,27258.428571428572,26088.35714285714
d_197,33003,2011-08-13,11129,Saturday,1,8,2011,0,1,0,31959.0,28953.0,30869.0,27915.14285714286,27547.714285714286,26164.571428571428
d_198,33909,2011-08-14,11129,Sunday,2,8,2011,0,0,1,32006.0,28677.0,30334.0,28187.0,27921.428571428572,26292.25
d_199,28511,2011-08-15,11129,Monday,3,8,2011,0,1,1,26354.0,26607.0,24639.0,28495.14285714286,28057.428571428572,26430.535714285714
d_200,25266,2011-08-16,11129,Tuesday,4,8,2011,0,0,0,26213.0,25475.0,21931.0,28359.85714285714,28042.5,26549.64285714286
d_201,23681,2011-08-17,11129,Wednesday,5,8,2011,0,0,0,24578.0,27237.0,22487.0,28231.714285714286,27788.5,26592.285714285714
d_202,23376,2011-08-18,11129,Thursday,6,8,2011,0,0,0,24708.0,23713.0,22778.0,28041.428571428572,27764.428571428572,26613.64285714286
d_203,27004,2011-08-19,11129,Friday,7,8,2011,0,0,0,28544.0,26594.0,26356.0,27821.428571428572,27793.714285714286,26636.785714285714
d_204,32258,2011-08-20,11130,Saturday,1,8,2011,0,0,0,33003.0,31959.0,30284.0,27715.0,27815.071428571428,26707.285714285714
d_205,33973,2011-08-21,11130,Sunday,2,8,2011,0,0,0,33909.0,32006.0,28799.0,27724.14285714286,27955.571428571428,26892.071428571428
d_206,25324,2011-08-22,11130,Monday,3,8,2011,0,0,0,28511.0,26354.0,22895.0,27268.85714285714,27882.0,26978.821428571428
d_207,22617,2011-08-23,11130,Tuesday,4,8,2011,0,0,0,25266.0,26213.0,21195.0,26890.428571428572,27625.14285714286,27029.60714285714
d_208,21935,2011-08-24,11130,Wednesday,5,8,2011,0,0,0,23681.0,24578.0,20504.0,26641.0,27436.35714285714,27080.714285714286
d_209,21414,2011-08-25,11130,Thursday,6,8,2011,0,0,0,23376.0,24708.0,21243.0,26360.714285714286,27201.071428571428,27086.821428571428
d_210,24268,2011-08-26,11130,Friday,7,8,2011,0,0,0,27004.0,28544.0,24542.0,25969.85714285714,26895.64285714286,27077.035714285714
d_211,30383,2011-08-27,11131,Saturday,1,8,2011,0,0,0,32258.0,33003.0,28953.0,25702.0,26708.5,27128.10714285714
d_212,30626,2011-08-28,11131,Sunday,2,8,2011,0,0,0,33973.0,33909.0,28677.0,25223.85714285714,26474.0,27197.714285714286
d_213,22085,2011-08-29,11131,Monday,3,8,2011,0,0,0,25324.0,28511.0,26607.0,24761.14285714286,26015.0,27036.214285714286
d_214,20350,2011-08-30,11131,Tuesday,4,8,2011,0,0,0,22617.0,25266.0,25475.0,24437.285714285714,25663.85714285714,26853.178571428572
d_215,21723,2011-08-31,11131,Wednesday,5,8,2011,0,0,0,21935.0,23681.0,27237.0,24407.0,25524.0,26656.25
d_216,26299,2011-09-01,11131,Thursday,6,9,2011,1,1,0,21414.0,23376.0,23713.0,25104.85714285714,25732.785714285714,26748.60714285714
d_217,29208,2011-09-02,11131,Friday,7,9,2011,1,0,1,24268.0,27004.0,26594.0,25810.571428571428,25890.214285714286,26841.964285714286
d_218,34032,2011-09-03,11132,Saturday,1,9,2011,1,1,1,30383.0,32258.0,31959.0,26331.85714285714,26016.928571428572,26916.0
